pathway,A584,A609,A616_OCT,A707,A720,A727,A748,A764,A972,A991,B136,B199,B215,B254,B283,B320,B346,B929,B986,C106,C145,C173,C186,C250a,C369,C51a,C552,C71
Androgen,0.49676423355224875,-0.2876675881327727,-2.063172639566495,0.7595255479515057,1.2134988900389727,0.6234823872185912,-0.597138359511263,1.9986237089046803,-0.7557455344499843,0.7719335431508088,0.20826338117991533,-0.35148618116291924,0.6167913273940692,0.5750078003031044,-1.3399750200059715,-0.7942263393943351,-2.0581757816129533,-0.8327674884929286,0.7884247234757666,0.1513242530527845,-0.1467384270591833,-0.36661691981206995,-0.7351668909595571,1.4235809458651916,0.8255910830325874,-0.22135926347147036,1.0784567364097575,-0.9810321278980266
EGFR,-1.1233591447577167,-0.5330999124391529,1.3502335327378536,-1.6108064983341854,0.029592530339438754,-0.37236373975910286,-0.26201794390689254,-0.9569474685342452,-0.6232952613122205,0.1840714604164381,-0.2629508039591621,1.639790123834452,-1.4602282127799173,0.5181950409069259,0.6989615845410858,-0.32371330557579175,0.32429151241633347,2.014348643335929,-0.6580399517632773,0.1775177741248437,-0.6868612785377071,1.5674853657938532,1.017138106318433,-1.5194872985006358,-0.9738492797509104,1.2791080457060053,0.06726228628822341,0.4990240931511021
Estrogen,-0.20228572233192543,-0.7069777439412159,-0.6230362743792314,-1.1464414392358688,1.0501244146504,0.02773272400866257,0.7906569872344528,0.4900494441447101,0.16942519345247928,0.8357614486244554,-1.3605836477766107,-0.818745420435911,0.2530340491734637,-0.23415698295619491,-1.4796169351753448,-0.12888502458986634,-1.0464602146776072,3.22196106308288,1.2662255095754449,-1.3246632062480101,-0.7677697748655564,0.5119601922946384,0.3307044326695694,0.7196332838019909,0.5422743845724948,0.2515961266931609,0.10816249772700559,-0.7296793650924519
Hypoxia,0.3494611965429588,-0.4972514124561815,0.2973711008531103,-0.7098168741274085,2.0305502393624653,1.1180902887508577,-0.7029604458340681,-0.09474390875030526,-1.1662982635474595,0.531206085506926,0.15845567762969173,0.8954477372529187,-1.1078362882928214,-0.6199599362398157,-1.6008910951811373,-1.060012470204856,-0.746267584753003,-0.7334715877337613,1.7799836835382117,-0.0654426854267006,-1.2067158982176864,1.8445116196810445,-0.4475451309381472,0.3575262269230492,-0.8706753629238702,0.7996796543743118,1.2164708879502957,0.251134546261432
JAK-STAT,-0.26598081537774493,0.26770556427961345,-0.5472133250064392,-0.37631645737087405,-0.84809185834111,-0.6312678783356924,-0.3014521259827753,-1.0767449474845396,0.041528518927973386,1.1760841046375086,-0.11751019378028263,0.6104765601011691,-0.3636945627146581,-0.12075586137721356,-0.5574461546815305,1.0994009613042202,0.18340998940227435,1.068039478755588,-0.8818510203084609,1.6424257091164998,-0.7845201863112184,-0.964372028020675,2.0097399651306005,-1.09375012441903,-1.2023230855114029,-0.3171468843910525,-0.38450859705464985,2.7361352548139117
MAPK,-0.7305090020507929,-0.8301073363779345,0.6261948906056535,-1.4237122369550494,0.4551118807602295,0.7458142957474753,-0.7147419382855742,-0.31821540603840304,0.024611835604605246,0.8565578344876665,0.236696444901565,0.74656993003438,-1.5010496721529583,0.5184166780453746,1.4954693729454565,-0.4519573356295145,1.235490904778079,1.226860226173611,-2.299897260678698,0.5845075633027592,-0.7229394837367668,0.07319371874500574,1.882106119130838,-1.4435316114638492,-0.6224615371629979,0.25766517963886654,-0.3987567444446279,0.49261269007562464
NFkB,0.0508293718169959,1.0780810021283713,1.76239540917286,0.5463676288646315,-0.3743762490636245,-0.02531140022175385,0.017199354702978537,-1.3715445951090124,1.043737993656839,-0.24026625446020508,0.3512338093972773,0.18292050706685253,-0.7753839309563924,0.9423861578949873,0.282101258055613,0.4425271901441779,1.9907317202225825,-1.5018700206474733,-0.7343272716048815,0.16817323428204983,-1.6795284364667757,0.3850977980718263,0.5621463764780393,-1.9171883020495488,-1.3591654096853485,-1.0167350331583735,0.6394546522072432,0.5503134392601321
p53,-1.010019967766266,-0.21953688824609727,1.877646243621725,-1.8203953473402814,-0.22651880778060163,-0.5466228827043909,-0.6842605669522729,-0.6679942808618556,1.5846106678815945,1.5332854629466421,0.21722226695923333,0.6704106197995833,-1.2773832250377546,-0.2468862620593147,-0.12104425094693061,-0.4296126554245435,0.8580467567936438,-1.1398304888932889,0.6634650324021553,1.5039435765679863,-1.883939854992616,0.12001035386951969,0.709810926341113,-0.050706940181838474,-0.8681544242057755,0.02957054315990662,0.7158245770358066,0.7090598160148842
PI3K,-0.9130156983625493,1.158954741805243,-0.7185849257501842,0.24250805320812513,-0.002079997405957347,-0.9735317932661426,-0.7027283933507475,-0.46804946776567213,1.5273727996010682,-1.2070295203402375,-0.2915392550525781,1.2787459948263222,0.03947527684529479,-0.29791379822325015,1.2018814995725542,0.9547674444995599,1.2490602105842963,1.3725873041886647,-2.896057879345045,0.41901077804147024,0.01713829953188813,-0.6708728846279534,0.8037254556016825,-0.26761497185952,-0.04988270933070976,-0.8992237086515985,-0.5195765417922574,0.6124736868182602
TGFb,-1.1989362054083792,-0.26650097886001173,2.152220000320283,-1.050666918450771,0.8155838981980782,-0.161650606927341,-0.7049673764051745,-0.016268281992901562,1.4846860011921132,-0.36085476649477877,-0.8526749141213891,-0.2897608765308558,-0.7574875746672813,1.2639184486440038,1.6609950589571163,-0.14537391563696697,2.1577633059850596,-0.8490832479442069,-0.41308704916376804,-0.7326033635863949,-1.376511975970605,0.15822534382436948,0.1594969345942997,-0.9382806759051491,-0.6360549963816519,0.40894503451424097,0.9036285952934539,-0.4146988970754346
TNFa,-0.20162279487443635,0.9371296983337576,1.8619793186206561,0.14647841451511723,-0.3057167978189235,-0.2634525055876451,0.12027449528498847,-1.3475227060311972,1.1376546761291988,-0.11066672615640082,0.22332254074320781,0.10507572870655678,-0.6342840218112877,1.012541718975631,0.13506541534555283,0.19195185683992746,2.013604044699365,-1.600671131897339,-0.4700935480728377,0.012309055202507909,-1.8144692447338708,1.183261903547311,0.4219011652497021,-1.7431245556510289,-1.3032938605672522,-0.7610173761544151,0.818397158621971,0.2349880785411393
Trail,0.4285302790986066,1.5267781690253128,-2.619286401943861,2.456935357845318,-0.08156635176314024,-0.12254155929615489,-1.2806288901694522,-0.1412188335074421,0.10101321941220501,-0.9948118932881769,0.5692838799853369,1.4662592243703965,0.21006256798731662,0.11224485713081078,0.9383444275579074,0.16965189314977266,-0.39088064236224473,-0.7296118975207813,-0.5989374196880451,-0.9763848123474321,0.47235756263629564,-1.6979150145895958,0.12753941929201132,0.08712459637397751,0.4954476990979102,0.14831159281067818,0.26108206777972115,0.06281690292276301
VEGF,0.10048570479052017,-0.9261580234030816,-1.404457502023075,-1.8193682613501458,-0.4382933713301206,-0.40494557089990874,0.692325349830005,-0.24746634646764,-1.041811377254986,0.5406786727612424,-1.177864569688198,-0.6320857385719182,0.5421114047925817,0.9609838506120671,-0.49803360851960293,-0.9942984761730775,-0.65773328230497,0.09426133737663928,1.6307635523780548,0.5905657315238532,0.058568547212680726,2.506666954679465,0.4654237079872853,0.038159717101528906,1.2297769121174644,0.7003379710493256,-1.0434958718277139,1.134902585601766
WNT,1.2004768913662032,-0.5471991914855572,0.28355630445193486,1.1098848377944877,-0.9014144641388744,0.48235944569383704,0.28944264356309013,-0.2188265163773451,0.24955084092419932,0.3379604014811671,1.2009827589399458,-0.1446364290361392,0.26015847783907486,0.06836924033760235,2.1534265121580303,-0.4344911260435499,1.1639856311640882,-2.3013367363777775,0.14114900817194,-0.9055403469328304,-0.4402932527751271,-2.564207386517564,-0.07584540608060188,-0.03950445491754871,0.5786351176770683,-0.2837285920193562,0.48396400139915585,-1.146878210259672
